 id |                      package_name                      
 817 | org.jboss.resteasy.jaxrs-api
 818 | org.jboss.errai.errai-marshalling
 820 | org.ops4j.base.ops4j-base-lang
 822 | org.ops4j.pax.swissbox.pax-swissbox-optional-jcl
 830 | org.ops4j.pax.web.pax-web-api
 833 | org.ops4j.pax.url.pax-url-aether
 834 | org.apache.geronimo.specs.geronimo-atinject_1.0_spec
 835 | ${servlet.spec.groupId}.${servlet.spec.artifactId}
 836 | org.eclipse.jdt.core.compiler.ecj
 841 | org.apache.geronimo.specs.geronimo-activation_1.1_spec
 843 | org.apache.geronimo.specs.geronimo-jpa_2.0_spec
(25 rows)

 id  |                     package_name                     
-----+------------------------------------------------------
 844 | org.apache.geronimo.specs.geronimo-javamail_1.4_spec
 845 | org.apache.geronimo.specs.geronimo-jaxws_2.2_spec
 849 | org.apache.geronimo.specs.geronimo-jaxrpc_1.1_spec
 851 | org.ops4j.pax.web.pax-web-runtime
 852 | org.ops4j.pax.web.pax-web-extender-whiteboard
 856 | org.ops4j.pax.exam.pax-exam-junit4
 858 | org.ops4j.pax.exam.pax-exam-link-mvn
 860 | org.apache.felix.org.apache.felix.framework
 865 | ch.qos.logback.logback-core
 867 | org.grails.grails-async
 878 | org.grails.grails-core
 880 | org.bouncycastle.bcprov-jdk15on
 881 | org.keycloak.keycloak-core
 882 | org.keycloak.keycloak-server-spi
 883 | org.keycloak.keycloak-server-spi-private
 884 | org.keycloak.keycloak-services
 886 | org.mongodb.mongo-java-driver
 889 | com.squareup.javapoet
 890 | com.google.auto.value.auto-value
 899 | org.springframework.boot.spring-boot-actuator
 905 | de.otto.edison.edison-core
 906 | com.github.ben-manes.caffeine.caffeine
 907 | de.otto.edison.edison-testsupport
 917 | org.scala-js.scalajs-library_2.12
 919 | org.apache.zookeeper.zookeeper
(25 rows)

 id  |                              package_name                              
-----+------------------------------------------------------------------------
 922 | com.vladsch.flexmark.flexmark-util
 923 | com.vladsch.flexmark.flexmark
 924 | com.vladsch.flexmark.flexmark-test-util
 925 | com.vladsch.flexmark.flexmark-jira-converter
 929 | org.openehealth.ipf.commons.ipf-commons-ihe-hl7v2
 930 | org.openehealth.ipf.gazelle.ipf-gazelle-validation-profiles-iti-pixpdq
 931 | org.openehealth.ipf.gazelle.ipf-gazelle-validation-commons-core
 932 | org.apache.camel.camel-hl7
 934 | org.apache.mina.mina-core
 935 | net.sf.ehcache.ehcache
 936 | geronimo-spec.geronimo-spec-jta
 937 | com.bugvm.bugvm-objc
 938 | com.bugvm.bugvm-rt
 940 | org.wildfly.swarm.spi-api
 946 | net.liftweb.lift-common_2.9.1
 947 | net.liftweb.lift-json_2.9.1
 949 | org.joda.joda-convert
 952 | com.novocode.junit-interface
 954 | org.scala-tools.testing.specs_2.9.1
 962 | org.glassfish.jersey.core.jersey-common
 966 | org.glassfish.jersey.media.jersey-media-multipart
 967 | org.glassfish.jersey.core.jersey-client
 980 | net.java.dev.jna.jna
 984 | com.netflix.hollow.hollow
 985 | org.scala-sbt.compiler-interface
(25 rows)

  id  |                           package_name                           
------+------------------------------------------------------------------
  990 | com.googlecode.java-diff-utils.diffutils
  991 | org.scala-sbt.util-testing_2.12
  995 | com.liferay.portal.com.liferay.util.bridges
  996 | com.liferay.portal.com.liferay.util.java
  997 | org.apache.tomcat.tomcat-servlet-api
 1001 | org.apache.servicemix.bundles.org.apache.servicemix.bundles.xpp3
 1003 | ${project.groupId}.org.robokind.api.common
 1004 | org.apache.felix.org.apache.felix.main
 1007 | com.madgag.org.eclipse.jgit
 1010 | ${project.groupId}.zipkin
 1011 | org.elasticsearch.elasticsearch
 1026 | org.mortbay.jetty.jetty
 1030 | org.jasig.cas.cas-server-core
 1037 | org.glassfish.core.glassfish
 1038 | com.sun.enterprise.hk2-core
 1041 | org.kohsuke.metainf-services.metainf-services
 1044 | io.ratpack.ratpack-core
 1046 | io.netty.netty-codec-http
 1050 | org.javassist.javassist
 1055 | com.fasterxml.jackson.datatype.jackson-datatype-jdk8
 1056 | com.fasterxml.jackson.datatype.jackson-datatype-jsr310
 1062 | org.apache.tomcat.catalina
 1065 | org.apache.tomcat.coyote
 1068 | net.sourceforge.collections.collections-generic
 1073 | org.slf4j.log4j-over-slf4j
(25 rows)

  id  |                     package_name                     
------+------------------------------------------------------
 1076 | org.hamcrest.hamcrest-core
 1079 | org.apache.tomcat.tomcat-dbcp
 1080 | org.apache.tomcat.tomcat-juli
 1082 | com.google.android.android
